x,f(x)
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
-0.800000011920929,-0.007665049284696579
